Match Date,Home Team,Away Team,Score,Points Home Team,Points Away Team,Total Points,Attendance,Referee,Referee Nationality,Kickoff Time
2015-10-03,England ,Australia,   13–33   ,13,33,46,81010,Romain Poite,France,20:00
2015-10-06,Fiji ,Uruguay,   47–15   ,47,15,62,30048,JP Doyle,England,20:00
2015-10-10,Australia ,Wales,   15–6   ,15,6,21,80863,Craig Joubert,South Africa,16:45
2015-10-10,England ,Uruguay,   60–3   ,60,3,63,50778,Chris Pollock,New Zealand,20:00
2015-09-19,South Africa ,Japan,   32–34   ,32,34,66,29290,Jérôme Garcès,France,16:45
2015-09-20,Samoa ,United States,   25–16   ,25,16,41,29178,George Clancy,Ireland,12:00
2015-09-23,Scotland ,Japan,   45–10   ,45,10,55,14354,John Lacey,Ireland,14:30
2015-09-26,South Africa ,Samoa,   46–6   ,46,6,52,39526,Wayne Barnes,England,16:45
2015-09-27,Scotland ,United States,   39–16   ,39,16,55,33521,Chris Pollock,New Zealand,14:30
2015-10-03,Samoa ,Japan,   5–26   ,5,26,31,29019,Craig Joubert,South Africa,14:30
2015-10-03,South Africa ,Scotland,   34–16   ,34,16,50,50900,Nigel Owens,Wales,16:45
2015-10-07,South Africa ,United States,   64–0   ,64,0,64,54658,Pascal Gaüzère,France,16:45
2015-10-10,Samoa ,Scotland,   33–36   ,33,36,69,51982,Jaco Peyper,South Africa,14:30
2015-10-11,United States ,Japan,   18–28   ,18,28,46,14517,Glen Jackson,New Zealand,20:00
2015-09-19,Tonga ,Georgia,   10–17   ,10,17,27,14200,Nigel Owens,Wales,12:00
2015-09-20,New Zealand ,Argentina,   26–16   ,26,16,42,89019,Wayne Barnes,England,16:45
2015-09-24,New Zealand ,Namibia,   58–14   ,58,14,72,51820,Romain Poite,France,20:00
2015-09-25,Argentina ,Georgia,   54–9   ,54,9,63,14256,JP Doyle,England,16:45
2015-09-29,Tonga ,Namibia,   35–21   ,35,21,56,10103,Glen Jackson,New Zealand,16:45
2015-10-02,New Zealand ,Georgia,   43–10   ,43,10,53,69187,Pascal Gaüzère,France,20:00
2015-10-04,Argentina ,Tonga,   45–16   ,45,16,61,29124,Jaco Peyper,South Africa,14:30
